X=-100.988 Y=-5.370 Z=-144.189,X=0.921 Y=-0.394 Z=-0.008,X=0.533 Y=0.200
X=-100.988 Y=-5.370 Z=-174.189,X=0.906 Y=-0.425 Z=-0.008,X=0.533 Y=0.250
X=-100.988 Y=-5.370 Z=-114.189,X=0.921 Y=-0.394 Z=-0.008,X=0.533 Y=0.151
X=-102.143 Y=-7.531 Z=-144.189,X=0.827 Y=-0.567 Z=-0.008,X=0.548 Y=0.200
X=-102.143 Y=-7.531 Z=-174.189,X=0.811 Y=-0.591 Z=-0.008,X=0.548 Y=0.250
X=-102.143 Y=-7.531 Z=-114.189,X=0.827 Y=-0.567 Z=-0.008,X=0.548 Y=0.151
X=-102.143 Y=-7.531 Z=-84.189,X=0.827 Y=-0.567 Z=-0.008,X=0.548 Y=0.101
X=-103.698 Y=-9.425 Z=-84.189,X=0.701 Y=-0.717 Z=-0.008,X=0.564 Y=0.101
X=-103.698 Y=-9.425 Z=-114.189,X=0.701 Y=-0.717 Z=-0.008,X=0.564 Y=0.151
X=-103.698 Y=-9.425 Z=-144.189,X=0.701 Y=-0.717 Z=-0.008,X=0.564 Y=0.200
X=-103.698 Y=-9.425 Z=-174.189,X=0.677 Y=-0.740 Z=-0.008,X=0.564 Y=0.250
X=-105.592 Y=-10.980 Z=-54.189,X=0.543 Y=-0.835 Z=0.000,X=0.579 Y=0.052
X=-107.753 Y=-12.135 Z=-24.189,X=0.402 Y=-0.913 Z=0.000,X=0.595 Y=0.002
X=-105.592 Y=-10.980 Z=-84.189,X=0.543 Y=-0.835 Z=0.000,X=0.579 Y=0.101
X=-107.753 Y=-12.135 Z=-54.189,X=0.370 Y=-0.929 Z=0.000,X=0.595 Y=0.052
X=-110.098 Y=-12.846 Z=-24.189,X=0.213 Y=-0.976 Z=0.000,X=0.610 Y=0.002
X=-105.592 Y=-10.980 Z=-114.189,X=0.543 Y=-0.835 Z=0.000,X=0.579 Y=0.151
X=-107.753 Y=-12.135 Z=-84.189,X=0.370 Y=-0.929 Z=0.000,X=0.595 Y=0.101
X=-110.098 Y=-12.846 Z=-54.189,X=0.181 Y=-0.984 Z=0.000,X=0.610 Y=0.052
X=-112.537 Y=-13.086 Z=-24.189,X=0.016 Y=-1.000 Z=0.000,X=0.625 Y=0.002
X=-105.592 Y=-10.980 Z=-144.189,X=0.543 Y=-0.835 Z=0.000,X=0.579 Y=0.200
X=-105.592 Y=-10.980 Z=-174.189,X=0.520 Y=-0.858 Z=-0.008,X=0.579 Y=0.250
X=-112.537 Y=-13.086 Z=-54.189,X=0.000 Y=-1.000 Z=0.000,X=0.625 Y=0.052
X=-114.975 Y=-12.846 Z=-24.189,X=-0.165 Y=-0.984 Z=0.000,X=0.641 Y=0.002
X=-107.753 Y=-12.135 Z=-144.189,X=0.370 Y=-0.929 Z=0.000,X=0.595 Y=0.200
X=-107.753 Y=-12.135 Z=-174.189,X=0.339 Y=-0.937 Z=0.000,X=0.595 Y=0.250
X=-107.753 Y=-12.135 Z=-114.189,X=0.370 Y=-0.929 Z=0.000,X=0.595 Y=0.151
X=-110.098 Y=-12.846 Z=-144.189,X=0.181 Y=-0.984 Z=0.000,X=0.610 Y=0.200
X=-110.098 Y=-12.846 Z=-174.189,X=0.150 Y=-0.992 Z=0.000,X=0.610 Y=0.250
X=-110.098 Y=-12.846 Z=-114.189,X=0.181 Y=-0.984 Z=0.000,X=0.610 Y=0.151
